pattern,normalized_pattern,required
сальник,сальник,0
сальник двигателя,сальник двигателя,0
сальник кпп,сальник кпп,0
бачок омывателя,бачок омывателя,0
бачок расширительный,бачок расширительный,0
болт,болт,0
винт,винт,0
втулка,втулка,0
гайка,гайка,0
держатель датчика,держатель датчика,0
заглушка,заглушка,0
зажим,зажим,0
защита двигателя,защита двигателя,0
защита моторного отсека,защита моторного отсека,0
клепка,клепка,0
клипса,клипса,0
колодец свечной,колодец свечной,0
кольцо стопорное,кольцо стопорное,0
кольцо уплотнительное,кольцо уплотнительное,0
крепеж,крепеж,0
крепление,крепление,0
кронштейн,кронштейн,0
крыльчатка вентилятора,крыльчатка вентилятора,0
крышка,крышка,0
крышка грм,крышка грм,0
крышка маслозаливной горловины,крышка маслозаливной горловины,0
крышка форсунки,крышка форсунки,0
крышки двигателя,крышки двигателя,0
крючок боковин грузового отсека,крючок боковин грузового отсека,0
локер,локер,0
масляный поддон,масляный поддон,0
направляющая клапана,направляющая клапана,0
натяжитель ремня,натяжитель ремня,0
окантовка датчика парковки,окантовка датчика парковки,0
опора двигателя,опора двигателя,0
опора двигателя задняя,опора двигателя задняя,0
ось вилки кпп,ось вилки кпп,0
патрубки системы охлаждения,патрубки системы охлаждения,0
патрубок,патрубок,0
петля буксировочная,петля буксировочная,0
пистон,пистон,0
планка,планка,0
пластина закладная,пластина закладная,0
подвес глушителя,подвес глушителя,0
поддон картера,поддон картера,0
поддон масляный,поддон масляный,0
подкрылок,подкрылок,0
подушка акпп,подушка акпп,0
подушка двс,подушка двс,0
подушка коробки скоростей,подушка коробки скоростей,0
подушки двигателя,подушки двигателя,0
саморез,саморез,0
сапун,сапун,0
сливная пробка,сливная пробка,0
солдатик,солдатик,0
стакан регулировочный,стакан регулировочный,0
стопорное кольцо,стопорное кольцо,0
сухарь,сухарь,0
тарелка клапана,тарелка клапана,0
толкатель клапана,толкатель клапана,0
трос замка двери,трос замка двери,0
трос капота,трос капота,0
трубка,трубка,0
трубка омывателя,трубка омывателя,0
форсунка омывателя,форсунка омывателя,0
хомут,хомут,0
шайба,шайба,0
шайба регулировачная,шайба регулировачная,0
шайба стопорная,шайба стопорная,0
шестерня,шестерня,0
шкив,шкив,0
шланг,шланг,0
шланг вентиляции картера,шланг вентиляции картера,0
шланг отопителя,шланг отопителя,0
штуцер,штуцер,0
щуп уровня масла,щуп уровня масла,0
эксцентрик,эксцентрик,0
эмблема,эмблема,0
натяжитель грм,натяжитель грм,1
натяжитель ремня грм,натяжитель ремня грм,1
натяжитель цепи грм,натяжитель цепи грм,1
шкив грм,шкив грм,1
шестерня грм,шестерня грм,1
